county_state,year,population,median_income,prop_female,prop_male,prop_white,prop_black,prop_native,prop_asian,prop_hawaiin_islander,prop_other_race,prop_multi_racial,prop_poverty
"Humboldt County, California",2010,134794,38492,0.4990281466534119,0.5009718533465881,0.8266169117319762,0.011358072317758951,0.06473581910174044,0.019748653500897665,0.005334065314479873,0.03464545899669125,0.03756101903645563,0.1769602168880224
"Imperial County, California",2010,175234,41802,0.48561352248992773,0.5143864775100723,0.5576029765913008,0.033149959482748785,0.022969286782245454,0.016155540591437735,2.282662040471598e-4,0.3355741465697296,0.03431982377849047,0.21526417600009704
"Kern County, California",2010,842207,45524,0.4832125593826696,0.5167874406173304,0.71739845429924,0.05629376150993758,0.012273704683052979,0.03886930410219815,7.242874970167666e-4,0.13492407448525126,0.039516413423303295,0.2123657507583168
"Kings County, California",2010,153174,44609,0.44278402339822687,0.5572159766017731,0.7619243474741144,0.07593978090276418,0.012691448940420697,0.04217425933905232,4.0476843328502224e-4,0.06969851280243383,0.037166882107929546,0.22173231789527384
"Lake County, California",2010,64771,34910,0.5163113121613068,0.48368868783869323,0.82103101696747,0.02306587824798135,0.013154034984792578,0.00787389418103781,0,0.09180034274598199,0.04307483287273626,0.22000340299153892
"Los Angeles County, California",2010,9830420,52684,0.5069435486988348,0.49305645130116516,0.5275769499166871,0.08480939776733852,0.004278555748381045,0.13798240563475417,0.0024012198868410507,0.20583555941658646,0.03711591162941156,0.17537938779088394
"Madera County, California",2010,151408,48268,0.5229578357814646,0.47704216421853535,0.8395659410334989,0.03886188312374511,0.013757529324738456,0.024265560604459474,0.0011029800274754307,0.04403994504913875,0.038406160836943884,0.20965200400591083
"Marin County, California",2010,252916,83867,0.509888658685097,0.49011134131490297,0.7926070315836088,0.02905707823941546,0.0032461370573629187,0.055069667399452786,0.0023169748058643976,0.07855572601179839,0.03914738490249727,0.09059880704017768
"Mendocino County, California",2010,87828,40536,0.4954456437582548,0.5045543562417453,0.8116204399508129,0.0134125791319397,0.05651956096005829,0.019401557589834677,0.004019219383340165,0.07263059616523204,0.022396046818782166,0.20017141334939367
"Merced County, California",2010,256778,42449,0.4948749503462135,0.5051250496537866,0.7428206466286053,0.03906097874428495,0.0063323181892529735,0.07946942495073565,2.9986992655134007e-4,0.11064421406818341,0.02137254749238642,0.22994393245101477
"Monterey County, California",2010,416682,54534,0.48478216001651137,0.5152178399834886,0.7755554595590882,0.028530150090476672,0.016801781694433644,0.060775363466624426,0.005620593162171632,0.07490604345760075,0.03781060856960464,0.17065460388430906
"Napa County, California",2010,136858,64401,0.4969822735974514,0.5030177264025486,0.8263017141855061,0.021533268058863932,0.004055298192286896,0.07265194581244794,0.001293311315377983,0.0474068012100133,0.026757661225503805,0.11718424934750539
