geoid,county_state,year,population,median_income,median_monthly_rent_cost,median_monthly_home_cost,prop_female,prop_male,prop_poverty
23,Maine,2010,1327567,45815,707,949,0.5112193960832109,0.4887806039167891,0.1293429604674976
24,Maryland,2010,5785982,68854,1131,1672,0.5161414259498215,0.4838585740501785,0.09871680905542539
25,Massachusetts,2010,6557254,62072,1009,1650,0.5165404603817391,0.48345953961826094,0.1144912436207402
26,Michigan,2010,9877574,45413,730,969,0.5091142825151196,0.4908857174848804,0.16758303181635403
27,Minnesota,2010,5310584,55459,764,1180,0.5037462923098477,0.49625370769015237,0.11553148847606567
28,Mississippi,2010,2970036,36851,672,650,0.514643930241923,0.485356069758077,0.22391304196628592
29,Missouri,2010,5996231,44301,682,876,0.5109623028198881,0.489037697180112,0.1527316267240899
30,Montana,2010,990898,42666,642,794,0.4961792232903891,0.5038207767096109,0.14615623078685633
31,Nebraska,2010,1830429,48408,669,893,0.5047390529761056,0.4952609470238944,0.12944904924427109
32,Nevada,2010,2704642,51001,952,1366,0.4951280058506819,0.504871994149318,0.14926038620567586
33,New Hampshire,2010,1316759,61042,951,1492,0.5083770074858042,0.49162299251419583,0.08286451503743497
34,New Jersey,2010,8801624,67681,1114,1907,0.5132660745335179,0.4867339254664821,0.1025661088985552
35,New Mexico,2010,2065932,42090,699,794,0.5057939951556972,0.4942060048443027,0.20439953060083488
36,New York,2010,19392283,54148,1020,1362,0.5159139333929894,0.48408606660701065,0.14944377088540617
37,North Carolina,2010,9561558,43326,731,951,0.5129291690747471,0.487070830925253,0.17492532956714846
38,North Dakota,2010,674499,48670,583,684,0.490814663920925,0.509185336079075,0.13032398701288733
39,Ohio,2010,11536182,45090,685,963,0.5119600228221087,0.48803997717789127,0.15848881186219757
40,Oklahoma,2010,3761702,42072,659,747,0.5065411880047914,0.4934588119952086,0.16908021143732577
41,Oregon,2010,3838957,46560,816,1228,0.5045047391778548,0.4954952608221452,0.15836984279268884
42,Pennsylvania,2010,12709630,49288,763,968,0.512802103601757,0.4871978963982429,0.13401008459661817
44,Rhode Island,2010,1052886,52254,868,1555,0.5173285616866403,0.4826714383133597,0.1404742145820984
45,South Carolina,2010,4636312,42018,728,838,0.5140458623147018,0.48595413768529816,0.18152636983977044
46,South Dakota,2010,816463,45904,591,777,0.49640093917299377,0.5035990608270062,0.1443240897915065
47,Tennessee,2010,6356897,41461,697,836,0.5131225187383089,0.48687748126169106,0.17682724466999833
48,Texas,2010,25257114,48615,801,1016,0.5038340484981776,0.4961659515018224,0.1790651876752809
49,Utah,2010,2776469,54744,796,1208,0.49653714844286034,0.5034628515571397,0.1315819932487869
50,Vermont,2010,625960,49406,823,1155,0.5076810019809572,0.4923189980190428,0.12707331280685696
51,Virginia,2010,8024617,60674,1019,1326,0.5087669604667737,0.49123303953322633,0.11078388846154588
53,Washington,2010,6744496,55631,908,1394,0.5020498195862226,0.4979501804137774,0.13433018103901467
54,West Virginia,2010,1853973,38218,571,491,0.5074577677236939,0.49254223227630606,0.18139680881797374
55,Wisconsin,2010,5691047,49001,715,1090,0.5033955966274747,0.4966044033725253,0.13213602434913235
56,Wyoming,2010,564460,53512,693,858,0.4914555504375864,0.5085444495624136,0.1117306575700392
72,Puerto Rico,2010,3722133,18862,429,260,0.5203648015801692,0.47963519841983077,0.4503291206004996
01,Alabama,2011,4802740,41415,687,774,0.5160235615502817,0.48397643844971827,0.19040193814731224
02,Alaska,2011,722718,67825,1049,1346,0.4840089772220977,0.5159910227779023,0.10455394278923691
04,Arizona,2011,6482505,46709,850,1056,0.501965058260657,0.49803494173934304,0.18993303662666583
05,Arkansas,2011,2937979,38758,639,674,0.5071952522465273,0.4928047477534727,0.19458928126978925
06,California,2011,37691912,57287,1174,1740,0.5025274387778471,0.4974725612221529,0.1656330038621966
08,Colorado,2011,5116796,55387,900,1306,0.49790142112368757,0.5020985788763125,0.13478163693532033
09,Connecticut,2011,3580709,65753,1021,1683,0.5130028717776284,0.4869971282223716,0.10883569973172433
10,Delaware,2011,907135,58814,960,1231,0.5150468232402013,0.4849531767597987,0.11880845874610275
11,District of Columbia,2011,617996,63124,1216,1874,0.527047100628483,0.47295289937151697,0.18707865264641632
12,Florida,2011,19057542,44299,949,1048,0.5108944794664495,0.48910552053355044,0.17013973311361852
13,Georgia,2011,9815210,46007,833,1070,0.5100465502011674,0.48995344979883265,0.19138127075137448
15,Hawaii,2011,1374810,61821,1308,1582,0.49913078898175023,0.5008692110182498,0.1204966893106908
16,Idaho,2011,1584985,43341,689,920,0.4984722252891983,0.5015277747108017,0.16452484449209784
17,Illinois,2011,12869259,53234,859,1237,0.5097380509631518,0.4902619490368482,0.14959639255906423
18,Indiana,2011,6516922,46438,707,860,0.5079839838500445,0.49201601614995544,0.15999782875044588
